"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
1,1,1,1,1,1,2,3,1
1,1,2,3,2,3,1,2,3
1,2,1,2,3,2,3,1,2
1,2,2,3,2,1,2,3,3
1,3,1,2,1,3,3,1,2
1,3,2,1,3,2,1,2,1
1,4,1,3,3,3,2,1,1
1,4,2,1,2,1,3,2,2
1,5,1,3,2,1,3,1,1
1,5,2,2,1,2,1,3,3
1,6,1,1,3,3,1,3,2
1,6,2,2,1,2,2,2,3
1,7,1,2,2,3,3,3,1
1,7,2,1,1,1,1,1,3
1,8,1,3,3,2,2,2,2
1,8,2,2,2,1,1,1,1
1,9,1,1,1,3,2,2,2
1,9,2,3,3,2,3,3,3
1,10,1,1,2,2,2,1,3
1,10,2,3,1,1,1,3,2
1,11,1,3,2,2,1,1,2
1,11,2,2,3,3,3,2,1
1,12,1,1,1,3,3,3,1
1,12,2,2,3,1,2,2,3
1,13,1,3,1,2,3,2,1
1,13,2,2,2,3,2,3,2
1,14,1,2,2,2,2,3,1
1,14,2,1,3,1,1,1,3
1,15,1,1,3,1,1,2,2
1,15,2,3,1,3,3,1,3
1,16,1,3,1,3,1,2,1
1,16,2,1,2,2,3,3,3
1,17,1,2,3,1,2,1,2
1,17,2,1,2,3,3,2,3
1,18,1,3,3,1,2,3,1
1,18,2,2,1,2,1,1,2
1,19,1,2,3,3,1,3,3
1,19,2,1,1,2,2,1,1
1,20,1,3,2,1,3,2,2
1,20,2,1,3,3,2,1,3
1,21,1,2,2,2,1,2,1
1,21,2,3,1,1,3,3,2
2,1,1,3,2,3,2,1,2
2,1,2,2,1,1,3,2,3
2,2,1,1,3,2,1,3,1
2,2,2,3,1,3,2,2,3
2,3,1,1,3,2,3,3,2
2,3,2,2,2,1,1,1,1
2,4,1,1,2,3,1,3,2
2,4,2,3,3,2,3,1,3
2,5,1,2,1,1,2,2,1
2,5,2,3,2,2,1,3,3
2,6,1,1,1,3,3,1,1
2,6,2,2,3,1,2,2,2
2,7,1,2,3,1,3,3,3
2,7,2,1,2,2,2,2,2
2,8,1,3,1,3,1,1,1
2,8,2,1,2,1,3,2,3
2,9,1,2,3,3,1,1,1
2,9,2,3,1,2,2,3,2
2,10,1,2,2,3,2,3,3
2,10,2,3,3,2,3,2,1
2,11,1,1,1,1,1,1,2
2,11,2,3,3,3,2,3,1
